author,company
Cameron Corliss,Game Rant
Neil Bolt,Bloody Disgusting
Jimmy Donnellan,Cultured Vultures
Tyler Hall,Video Chums
Jordan Loeffler,DualShockers
Spencer Breland,Gaming Tree House
Chris Anderson,PSX Extreme
Tyler Treese,PlayStation LifeStyle
Alex Avard,CGMagazine
Jim Smale,Gert Lush Gaming
Kacper Mądry,NEOsite
Jeremy Peterson,Pure Playstation
Jeremy Brown,GameSkinny
Weston Terry,Rectify Gaming
Marc Caccamise,TrueAchievements
Chris Roberto,The Vertical Slice
Ben Sellwood,GBAtemp
Parham Aghakhani,Pixel Arts
"Alicia Brunskill	",Rapid Reviews UK
Ismael Mercado Sánchez,33bits
Frank Ventimiglia,Marooners' Rock
Dylan Blereau,New Game Network
César Aguirre,NaviGames
Abbi Smith,LadiesGamers.com
John Rogers,NintendoWorldReport
Filipe Castro Mesquita,Game Forces PT
Ben Johnson,KeenGamer
Andrew Thornton,Darkstation
Alice Bell,"Rock, Paper, Shotgun"
Hope Corrigan,GameSpot
Jervon Perkins,RPGamer
John Tonks,Thumb Culture
Joseph Doyle,Worth Playing
Chris Bowman,GameSpace
Khayl Adam,Twinfinite
Lucas Rivarola,RPG Site
Mark Fajardo,Just Push Start
Timothy Nunes,PlayStation Universe
Josh McGrath,Gamer Escape
Charlie Grammer,GotGame
Christopher Kysse,gameranx
Darren MacPhail,RPG Site
Zackerie Fairfax,Screen Rant
Carlos Braadt,Gamezo
Michal Korec,SECTOR.sk
Dan Grayson,Gameplanet
Jeremy Rice,SwitchRPG
عبدالرحمن بعيون,Saudi Gamer
Matt Osborn,Daily Mirror
Bryan Lawver,GamingTrend
Ethan Willard,We Got This Covered
Benjamin Guy,Invision Community
Igone Martínez,Chicas Gamers
David Gault,My Games Lounge
Umut Uyurkulak,Game News Plus
Greg Delmage,RPG Fan
Charalampos Papadimitriou,RPGamer
Damien King,GameCynic
Nicole Hunter,Old Grizzled Gamers
Angel Davila,Gameblog
Ángel Almansa,IGN Spain
Avery Xavier Chu,Rely On Horror
Rory Hutchings,Niche Gamer
Ron Welch,TechRaptor
Tyler Treese,Game Revolution
Edie W-K,Checkpoint Gaming
Allen Watts,Niche Gamer
Joel Couture,Siliconera
Pilar Waldorf,NaviGames
Ivanir Ignacchitti,Nintendo Blast
Reuben Mount,TheSixthAxis
Alex de Freitas,NintendoWorldReport
Thorne Stone,Cultured Vultures
Luis Mauricio,RPGamer
Luke Hemming,Cubed3
James Colozzi,Pure Nintendo
Spencer Johnson,The Thirsty Mage
Francis Kenna,GameGrin
Heidi Kemps,GameSpot
Alan Wen,TheSixthAxis
Steven Ritz,COGconnected
Garth Holden,SA Gamer
Nick Valdez,Destructoid
Anthony Shelton,GamingTrend
Victor Hugo Carreta,Nintendo Blast
Joseph Moorer,Gaming Nexus
Mick Abrahamson,But Why Tho?
Alec Padua,WhatIfGaming
Will Quick,TechRaptor
Wil James,Explosion Network
Daymon Trapold,Hey Poor Player
Andrew Farrell,PC Invasion
Andrea Giongiani,IGN Italy
Gareth Trueman,Thumb Culture
Caitlin Argyros,RPG Fan
Stefano Lucchi,IGN Italy
Sara Heritage,GameByte
Nathan Gibson,Screen Rant
Álex Pareja,IGN Spain
Lawrence Le,PC Invasion
David Silbert,Worth Playing
Dillan Combs,Pure Nintendo
Branden Johnson,RPGamer
Austin Fern,GamingTrend
Donald Theriault,NintendoWorldReport
Matthew Squaire,The Game Fanatics
Joanna Nelius,Marooners' Rock
James Birks,TheXboxHub
Tegan Walsh-Jones,WellPlayed
Tyler Schurwan,GameGrin
Gabriel Cavalcanti,PC Aficionado
Kevin McIntosh,The Vertical Slice
Charlie Norris,Turn Based Lovers
Anthony Gravel,Geeks & Com
Chris Ranta,The Click
Giorgos Gioldasis,Enternity.gr
Francesco Destri,IGN Italy
Carlos Miguel Antonio da Silva,Game Forces PT
Mohammad Zamani,BaziCenter
Abraham Kobylanski,RPG Fan
Steve Keator,Turn Based Lovers
Mitchell Gassner,MMORPG.com
John Farrell,GamingTrend
Burcu Arabacı,Oyungezer Online
Brandon Lyttle,Niche Gamer
Rowan Kaiser,IGN
Pam K. Ferdinand,Game Rant
David Holzsager,Chalgyr's Game Room
Alex Wawro,Tom's Guide
Erika Gonzalvez Nestares,33bits
Михаил Пономарев,3DNews
Tom Quirk,Checkpoint Gaming
Jason Wilson,GamesBeat
Blake Grundman,PC Invasion
Adnan Kljajić,AltChar
Catherine Daro,GameSpace
Thomas Medina,WayTooManyGames
Dia Lacina,Paste Magazine
Jesse Galena,The Escapist
Prans Dunn,GBAtemp
Eric Switzer,TheGamer
Junior Onunkwo,GamesCreed
Mark Ruhland,GAMEtainment
Edward Swardt,Vamers
Jeff Zoldy,JumpCut PLAY
Todd Eggleston,WayTooManyGames
Davies Green,CFG Games
Dustin Murphy,Blast Away the Game Review
Onur Kaya ,Oyungezer Online
Gareth von Kallenbach,Skewed & Reviewed
Nyam Hazz,JVL
 Andrea Giuliani,MondoXbox
Franciso Jose Moreno,NaviGames
Adrián de Francisco,Chicas Gamers
Luke Hinton,Guide Fall
Pedro Pérez Cesari,LevelUp
Mark O'Callaghan,KeenGamer
Henry Yu,Gaming Nexus
Alberto Mantione,SpaceNerd.it
Christos Chatzisavvas,Enternity.gr
Anthony Culinas,The Beta Network
James Sumner,GameByte
Samet Basri Taşlı,Merlin'in Kazanı
Ricki Buzon,One More Game
Marshall Honorof,Tom's Guide
Nat Patterson,Checkpoint Gaming
Andrew Camac,NookGaming
Nicola Kapron,COGconnected
Zaher Albalbisi,IGN Middle East
Josh Jackson,KeenGamer
Eugene Sowah,Daily Mirror
Ryan Keenum,Screen Rant
Ersin Kılıç,Merlin'in Kazanı
Fiama Pineda,SomosXbox
Luis Guilherme Machado Camargo,PSX Brasil
David Pérez,GuiltyBit
Alexandre Galvão,GameBlast
Andy Manson,FingerGuns
William Worrall,TechRaptor
Christopher Reed,The Thirsty Mage
Toby Mortaro,Rapid Reviews UK
Alex Orona,NintendoWorldReport
Zane Wong,COGconnected
Manuel Eichhorn,Gamer's Palace
Marcello Brancaccio,RPG Italia
Manos Vezos,Enternity.gr
Sadra Shariati,Pardis Game
Carri Grant Raffy Abenoja,PlayStation Galaxy
Ray Willmott,Expansive
Hamidreza Ghaneei,Bazimag
Malindy Hetfeld,PC Gamer
Λεωνίδας Στραβάκος,Unboxholics
Steve Hogarty,PCGamesN
Jeff Williams,Wccftech
Nick Ginser,Gamers FTW
John Yan,Gaming Nexus
Jake Valentine,The Game Fanatics
Gary Durston,GameGrin
Mike Flacy,High-Def Digest
Alec Meer,"Rock, Paper, Shotgun"
Michael Andronico,Tom's Guide
Jon Ledford,Arcade Sushi
Nicholas Scibetta,GameCrate
Steven Williamson,PlayStation Universe
Edward Smith,IBTimes UK
Stephen Brown,Rapid Reviews UK
Luis Cano,KeenGamer
Nicholas Kennedy,GamesHub
Andrea Sorichetti,Everyeye.it
Vikki Blake,Eurogamer
KC Nwosu,The Escapist
Sam Watanuki,TheGamer
Jozef Moravec,SomHráč.sk
Daniele D'Orefice,Everyeye.it
Luke Plunkett,Kotaku
Maxim Klose-Ivanov,Cultured Vultures
Matthew Ralphson,GameWatcher
Jonathan Bolding,PC Gamer
Drew Meadows,Game Freaks 365
Miles Thompson,FingerGuns
Wes Playfair,NookGaming
Jim Rossignol,"Rock, Paper, Shotgun"
Reza Damirchi,Pardis Game
"James Speyer,Ryan Lipton",FinalBoss
Tjark Würstlein,Mighty Games Mag
Phillip Tinner,Screen Rant
Tobias Heinen,pressakey.com
Silviu Stahie,Softpedia
Charles Singletary,IGN
Sebastian Mersch,GameFeature
Engin Vural,Oyungezer Online
Γιάννης Φανίδης,Unboxholics
Claudio Chianese,IGN Italy
Camille Allard,Gameblog
Rayan Zojaji,BaziCenter
Sam Spiller,Critical Hit
Oliver East,Just Push Start
Furkan Sakoğlu,Merlin'in Kazanı
Dan Hodges,TechRaptor
Bradley Keene,Rapid Reviews UK
Pedro del Pozo,Generación Xbox
Jacob Zeranko,Screen Rant
Ali Rajabi,Pixel Arts
Arkadyuti Bandyopadhyay,TechQuila
Θέμης Μπολτσής,Unboxholics
Noor Aldeen ali,ElderPlayers 
خالد العيسى,TrueGaming
Luke Kemp,PC Gamer
Lyam Shoup,Demon Gaming 
Ondrej Džurdženík,SECTOR.sk
Alessandro Reppucci,Serial Gamer Italia
Fardin Bagherian,Bazimag
Cam Olmedo,DualShockers
Simon Brown,GameGrin
Sam Greer,PC Gamer
Sebastian Purtak,GRYOnline.pl
Joseph Pugh,GideonsGaming
Brendan Caldwell,"Rock, Paper, Shotgun"
Josh Tyler,Movies Games and Tech
Joseph Allen,TechRaptor
Stefania Sperandio,Spaziogames
James Eckhoff,The Digital Fix
André Reis,FNintendo
Chelsea Beardsmore,The Loot Gaming
Thomas McDermott,DarkZero
Stephen Brown,GameSkinny
Isobelle Neal,DarkZero
Jacob Hull,Push Square
Adam Goodall,Gameplanet
Yamilia Avendano,Twinfinite
Courtney Ehrenhofler,TechRaptor
Evan Witt,New Game Network
Melissa Loomis,Game Rant
Jeremy Signor,GameSpot
Michael Bunning,Gamestyle
Geoff Thew,Hardcore Gamer
Janine Hawkins,Paste Magazine
Josiah Harrist,Kill Screen
Jonathan Lester,Dealspwn
Chris Thursten,PC Gamer
Marshall Lemon,The Escapist
Ben Davis,Destructoid
Robert Freeman,Guardian
John Bain,"TotalBiscuit, The Cynical Brit"
Simon Parkin,Eurogamer
Giacomo Todeschini,Tom's Hardware Italia
Arkadyuti Bandyopadhyay,Gameffine
Omar Alflasi ,ElderPlayers 
Adam Hambálek,SomHráč.sk
Jakob Gottschalk,GamesCreed
Robert Zak,PC Gamer
Ares Aybar,Oyungezer Online
Leana Hafer,IGN
Adam Zechenter,GRYOnline.pl
Frank Streva,Niche Gamer
Hodey Johns,Game Rant
Stefano Castagnola,IGN Italy
Hayes Madsen,CGMagazine
Nate Crowley,"Rock, Paper, Shotgun"
Bruno Alexandre Ferreira,Game Forces PT
Liana Ruppert,Game Informer
Scott Jeslis,GameSpace
Kevin Cormier,Geeks & Com
Patrik Guľa,SomHráč.sk
Jake Sparkman,KeenGamer
Rui Celso,PSX Brasil
Rob Lake,Rapid Reviews UK
Adam Ryan,WellPlayed
Daniel Waite,Movies Games and Tech
Devo Deaves,GamingTrend
Michael Cherdchupan,GamePro
James Sousa,Jack of All Controllers
James Berich,Press Start
Ofisil,Cubed3
Menachem Rephun,GameSkinny
Alex Cranz ,Tom's Guide
Timothy Torres,PCMag
Nick Hartel,High-Def Digest
Jake Weston,VGChartz
"Eric Frederiksen,Ron Duwell",TechnoBuffalo
Jett Vincent Sia,The PlayStation Hub
Nick de Bruyne,Pennyworth Reviews
Kaveh Eskandari,BaziCenter
Niloofar Ebrahim Pour,Zoomg
Kieran Stockton,WellPlayed
Shayan Ziaei,Digiato
Vinny Fanneran,Elite Gamer
Ben Runnings,The Game Fanatics
Andrew Wowk,GameGrin
Moustafa Gad,Game Volt
Matt Hewson,Player2.net.au
Michael Ajibade,PCMag
Robert Lashley,MMORPG.com
Brock McLaughlin,Brock McLaughlin
Chris Thursten,GamesRadar+
Adam Dileva,COGconnected
Daniel Perez,Shacknews
Mark Monaco,MMOGames
Wes Fenlon,PC Gamer
Kris West,GameGrin
Tyler Rowe,MMORPG.com
Philippa Warr,"Rock, Paper, Shotgun"
Yagmur Sevinc,NoobFeed
William Quant,Cultured Vultures
Eren Eryürekli,Oyungezer Online
Abdulmonem Saeed,ElderPlayers 
Grace Benfell,Paste Magazine
Dan Rodriguez,Seasoned Gaming
Panagiotis Petropoulos,Enternity.gr
Poorna Shankar,MMORPG.com
میثم خلیل زاده,Zoomg
Hayes Madsen,GameSkinny
Daniel Janák,SomHráč.sk
gazzagb,TheSixthAxis
Jennifer Reichel,Rapid Reviews UK
Justin Guillou,oprainfall
Jason Germino,GameOctane
Veeti Kainulainen,Fintendo
Rachel Watts,PC Gamer
Tom Marks,IGN
Jonny Foster,GameSkinny
Mathew Olson,USgamer
Brittany Vincent,Shacknews
Rachel Weber,GamesRadar+
Glenn Shiraishi,Rice Digital
Steven Green,NintendoWorldReport
Petr Duppal,INDIANTVCZ
Alex Everatt,COGconnected
Andrew Logue,Nexus
Lewis White,MSPoweruser
Steve Baltimore,oprainfall
Keith Stuart,Guardian
Kolby Newland,Checkpoint Gaming
Carlos Silva,Game Forces PT
Andrew Camac,Otaku Gamers UK
Tom Hutchison,Daily Star
Chris Scullion,Nintendo Life
Patrick Pinheiro,Nintendo Blast
Eugene Schaffmeir ,Lords Of Gaming 
Gavin Herman,GameWatcher
Ted Hazell,NintendoWorldReport
Adam Kerr,GameGrin
Merima Dzakić,AltChar
Luke Mitchell,Checkpoint Gaming
Max Fagandini,KeenGamer
Thomas Wilde,GameSkinny
Rory Mellon,Tom's Guide
Győző Baki,XboxEra
Jenna Anderson,ComicBook.com
Matheus Senna de Oliveira,GameBlast
Jarrett Green,IGN
Kajetan Węsierski,PPE.pl
Joshua Robin,NintendoWorldReport
Morgan Park,PC Gamer
Conrad Huang,Sirus Gaming
Jordan Minor,PCMag
Noah Vaca,Game Rant
Jamie Latour,TheGamer
Josh Nichols,We Got This Covered
Jordan Campbell,Rapid Reviews UK
Nathaniel Cohen,Gaming Nexus
Matt Girdler,GameGrin
Jamal Khan,Gamers FTW
Alex Donaldson,RPG Site
Steve Boxer,TrustedReviews
Kevin Dunsmore,Hardcore Gamer
Dan Naylor,God is a Geek
George Seymour,ThisGenGaming
Tom Orry,VideoGamer
Matt Walker,Cheat Code Central
Kirby Yablonski,COGconnected
Steven Ruygrok,Examiner
Vince Ingenito,IGN
Dan Oravasaari,PlayStation LifeStyle
Nicholas Tan,Game Revolution
Edd Harwood,The Digital Fix
Kevin Hamilton,CGMagazine
Iain Cooper,DarkZero
Joshua Vanderwall,The Escapist
Jeremy Signor,GamesBeat
Dan Pearson,Eurogamer
Nicolò Pellegatta,Everyeye.it
Matt Elliott,PC Gamer
Victor Grunn,GamingTrend
Dan Stapleton,IGN
Dennis Patrick,gameranx
Erin Castillo,COGconnected
James Grech,Cubed3
Nikitas Kavouklis,Enternity.gr
Funké Joseph,Paste Magazine
Kyle Sherry,Rapid Reviews UK
Jordana Elliott,Impulsegamer
Bennet Gehring-Nobbe,KeenGamer
Dashiell Wood,Arcadeberry
Georgina Howlett,The Digital Fix
Nate Burleyson,Gamezo
Henry Stockdale,Nintendo Life
Nick Meekham,Cultured Vultures
Derek Johnson,Jump Dash Roll
David McNamara,Checkpoint Gaming
Rio Fox,LadiesGamers.com
Jamie Mercer,Cubed3
Phillip Pinyan,SwitchRPG
Franceen Robles,Grandma's Game Room
Jason Fanelli,COGconnected
Liam Doolan,Nintendo Life
Mike Robles,Marooners' Rock
Ben Robson,GameGrin
David Bouffard,COGconnected
Lexley Ford,TrueAchievements
Rob Gordon,Game Rant
Ken Barnes,Pure Xbox
Ryan Esler,Readers Gambit
Oli Welsh,Eurogamer
Benjamin Schwartz,Pixel Dynamo
Rebecca Smith,PlayStation LifeStyle
Michael Chow,COGconnected
Martyn Locker,PlayStation Universe
Bruno Costa,XboxEra
Nick Maillet,TechRaptor
Thi Chao,COGconnected
Noelle Adams,Critical Hit
Nick Gipson,Unboxed
Heather Wald,GamesRadar+
Joe Skrebels,IGN
Charlie Wacholz,DualShockers
Sienna Douglas,Digital Chumps
Borja Vilar Martos,GameGrin
Richard Talbot-Ashby,Real Game Media
Carli Velocci,Polygon
Leo Rae-Brown,Gameplanet
Ruaraidh Dempster,GameSpew
Andrew Vandersteen,Goomba Stomp
Lydia Tang,COGconnected
Matt Miller,Game Informer
Alex Neeler,Twinfinite
David Jagneaux,GameCrate
Rick Lane,Eurogamer
Brett Todd,GameSpot
Ruth Cassidy,PC Gamer
Jai Singh Bains ,"Rock, Paper, Shotgun"
Lawrence Obrero,Last Word on Gaming
Cass Marshall,Polygon
Bruno Citoni,KeenGamer
Nick Petrasiti,TheSixthAxis
Dashiell Wood,PC Gamer
Tarran Stockton,GGRecon
Mike Crewe,GameGrin
Edwin Millheim,Impulsegamer
James Reid,COGconnected
Blaine Smith,Gamers Heroes
Richard Banks,Impulsegamer
Vincent Ternida,One More Game
Eduardo Bleve,SpaceNerd.it
Martin de Mooij,Play Watch Read
Claudio Meira,Capsule Computers
Moustafa Gad,IGN Middle East
Michael Huber,Easy Allies
Alejandro Morillas Tellez,NaviGames
Edmond Tran,GamesHub
آرمان زرمهر,Gamefa
David Dominguez,Gaming on PC
Charles De Mello,GamesCreed
Oto Schultz,SECTOR.sk
Matt Cabral,Tom's Guide
Brian Zuhl,GotGame
Dustin Urness,Guide Fall
Aaron Bayne,GGRecon
Carlos França Júnior,GameBlast
Rick Lane,PC Gamer
Emerson Dupree,Digital Chumps
Anton Semchenko,Oyungezer Online
Milad Taher Nejad,BaziCenter
Trey Griffeth,Video Chums
Spencer Legacy,MonsterVine
Michal Włodarczyk,PPE.pl
Filippo Scaboro,VGN
Jessica Orr,KeenGamer
Eric Oliveira,PSX Brasil
Annette Polis,PlayStation LifeStyle
Nic Reuben,Guardian
Steve Summers,Rely On Horror
Katharine Castle,"Rock, Paper, Shotgun"
Samuel Incze,The Beta Network
Taylor King,Checkpoint Gaming
Mark Fajardo,Infinite Start
Ryan Aston,Slant Magazine
Alessandro Zampini,IGN Italy
Gavin Lane,Nintendo Life
Gianni Molinaro,Gameblog
Charlie Coleman,Gaming Nexus
Kieran Mouritsen,NoobFeed
Götz Piesbergen,neXGam
Jarrod Garripoli,Gamer Guides
Marek Čabák,INDIANTVCZ
Daniel Ladiano,GotGame
Dan Silver,Telegraph
Jamie Nightingale,Daily Star
Tristan Biggs,Jack of All Controllers
Michael Mendis,Geeks Under Grace
Abdul Saad,GotGame
Florian Kraner,pressplay
Jamie Sharp,Niche Gamer
Mike Merson,The Digital Fix
Conor Evans,Rice Digital
Steven Messner,PC Gamer
Travis Northup,IGN
George Yang,GameSkinny
Jen Glennon,Inverse
Alex Gibson,Twinfinite
Roberto Nieves,Marooners' Rock
Nicolò Paschetto,The Games Machine
Andrew Feistner,Geeks Under Grace
Nicolò Bicego,Spaziogames
Andrew Copeland,Gamer Escape
Kieron Verbrugge,WellPlayed
Brian Stewart,Handsome Phantom
Antonello Bello,Everyeye.it
Joe Apsey,Daily Star
Lewis Howarth,DarkZero
Adrián Regas,NaviGames
Robert Chełstowski,Gamerweb.pl
Stacey Henley,TheGamer
Joe Apsey,PlayStation Universe
北方凛,Gamersky
Brad Ellis,Easy Allies
Christian Kobza,New Game Network
Jose Angel Martínez,Generación Xbox
David Morgan,We Got This Covered
Joe Donnelly,PC Gamer
Henry T. Casey,Tom's Guide
 Barbora Šalandová,INDIANTVCZ
Ant Barlow,Jump Dash Roll
Manu Tárrega,PSX Brasil
Kyle Bell,Game Freaks 365
Grant E. Gaines,Just Push Start
Jon Clarke,XboxEra
Beatriz Varela,FNintendo
Christopher Joslin,Electric Bento
Meysam Khalilzadeh,Zoomg
Harry Fritsch,KeenGamer
Seyed Ali Rooholamini,Bazimag
Hayes Madsen,Screen Rant
Eleanore Blereau,WellPlayed
George Yang,The Escapist
Teddy Amenabar,Washington Post
Jason Guisao,Game Informer
Jason Fanelli,GameSpot
Sarwar Ron,GamesCreed
Ntinos Georgiou,Enternity.gr
Emad Ahmed,Eurogamer
Eric Van Allen,Destructoid
Vladimír Kozák,INDIANTVCZ
Jada Griffin,IGN
Ali Sezgin,Oyungezer Online
Tom Sykes,PC Gamer
Juanma Luengo,Chicas Gamers
Michael Ouellette,Turn Based Lovers
Jason Italic,Games Xtreme
Joshua Wise,Thumbsticks
Travis Verbil,DualShockers
Garrett Martin,Paste Magazine
Amy Kay Purcell,GamingTrend
Lukas Heinkel,I KNOW YOUR GAME
Ali Rezazadeh,BaziCenter
Kieran McLoone,Cultured Vultures
Alex Sinclair Lack,MMOGames
Jason D'Aprile,GameSkinny
Pasquale Fusco,Spaziogames
Ule Lopez,Wccftech
Jordan Middler,Nintendo Life
Leif Rey Bornales,PlayStation Galaxy
Diego Cinelli,IGN Italy
Steve Watts,GameSpot
David Whey,GamePro
Mina Smith ,LadiesGamers.com
Rebekah Valentine,IGN
Brandon Jones,Easy Allies
Jordan Phipps,ThisGenGaming
Jed Whitaker,Destructoid
Rebecca Stow,Push Square
Mohammad Maraghi,Bazimag
Jakub Kadlus,INDIANTVCZ
Matthew Castle,Nintendo Life
Siobhan Eardley,The Digital Fix
Jem Sagcal,Sirus Gaming
Geoff Girardin,KeenGamer
Jamie Davies,GameGrin
Chris Mc,GameSpew
Christian Angeles,Hey Poor Player
Joseph Siemsen,Forever Classic Games
Michelle Schulte,XGN.nl
Alex Laybourne,Rapid Reviews UK
Vivienne Wright,Checkpoint Gaming
Andy Johnson,Entertainium
Daniella Lucas,PC Gamer
Nestor K,The Thirsty Mage
Josh Tolentino,Siliconera
Izzy Parsons ,RPG Fan
Fernando da Costa,WayTooManyGames
Lukas Elstermann,GamePro
Lucía Sáez,NaviGames
Henry Yu,The Game Crater
André Reis,Starbit
Joseph Kime,GGRecon
Antti Nikkilä,Fintendo
Tom Brown,Nintendo Wire
Maximillian Ringgenberg,CFG Games
Pedro Cooray,Checkpoint Gaming
Salal Awan,Twisted Voxel
Joshua Carpenter,RPGamer
Nabil Mordhona,Gamer Escape
Paul Williams,The Digital Fix
Nikholai Koolonavich,GameGrin
Jemma Casson,Pure Nintendo
Júlio César Souza Pires,PSX Brasil
Miguel Ángel Escudero,IGN Spain
Łukasz Ruszkowski,NEOsite
Tomas Franzese,DualShockers
Lawrence Bowyer,My Games Lounge
Josh Piedra,The Outerhaven Productions
Leigh Walker,Xbox Sector
Emine Ozturk,Game News Plus
Mitchell Parton,NintendoWorldReport
David Jagneaux,Nintendo Life
Ethan Butterfield,GameGrin
Kirk McKeand,VG247
Blade Shaw,GameCloud
Pouria Daneshvar,Digiato
Sharn Daniels,The Gaming Ground
Sabrina Quinci,PCMag
Jarren Navarrete,PlayStation Galaxy
Rahul Majumdar,TechQuila
Craig Huntley,The Digital Fix
Shane Boyle,Hey Poor Player
Scott McCrae,Nintendo Life
Richard Allen,GamingTrend
Paul Hunter,NextGen Player
Jake Su,Twinfinite
Steven Mattern,GamingBolt
Michael Tausendpfund,neXGam
André Silva,FNintendo
Joey Anderson,Game Freaks 365
Jenny Jones,PlayStation LifeStyle
Jonathan Moore,GameSkinny
Shaheryar Ehsan-i-Haque,Game Debate
Miroslav Slemenský,SomHráč.sk
Dale Emasiri,God is a Geek
René Blanárik,SomHráč.sk
Bill Georgakopoulos,Enternity.gr
Lexuzze Tablante,PlayStation Galaxy
Neil Curry,Electric Bento
Baden Ronie,Wolf's Gaming Blog
Joseph DeClara,CGMagazine
Damian Seeto,Just Push Start
Russ Frushtick,Polygon
Ben Maxwell,PCGamesN
Kaelyn Daugherty,Pure Nintendo
Joel Peterson,Destructoid
Wyatt Daniels,ZTGD
Afroxander,GameCrate
Daniel Coomans,Impulsegamer
Michael Elliott,MonsterVine
Aaron Varshney,PlayStation Universe
Richard Tanner,TrustedReviews
Patrick Rost,GamingTrend
Erin Soares,COGconnected
Reagan Cox,TechRaptor
Khris Golder,Rectify Gaming
Zack Hage,The Cube
Ian Soltes,Cubed3
Luke George,Hardcore Gamer
Nycolas Medeiros,GameBlast
Sarah LeBoeuf,IGN
Lee Mehr,Darkstation
Giles Nicholson,JumpCut PLAY
Mike Thomas,Gamer Escape
Daniel Garcia Ballesteros,MMoinGame
Brianna Reeves,PlayStation LifeStyle
Philip Orona,NintendoWorldReport
Alex Knight,Nintendo Times
A.K Rahming,Nintendo Enthusiast
Chad Norton,Game Debate
Χρήστος Παπέλης,Unboxholics
 Michal Burian,INDIANTVCZ
Christopher Button,Player2.net.au
Clayton Cyre,COGconnected
Jonathan Ober,Rapid Reviews UK
Bahram Bigharaz,Bazimag
Robert Kollars,Operation Sports
Luke Reilly,IGN
Paolo Sirio,Spaziogames
Shaun Hughes,Rapid Reviews UK
Ben Ledsham,AbsoluteXbox
Chan Khee Hoon,Slant Magazine
Codi Spence,GamingTrend
Sina Golab Zade,BaziCenter
Saeed Aghababaie,Gamefa
Tomas Barry,Cubed3
Islam Ibrahim,IGN Middle East
Ben Thompson,SwitchRPG
Enricko Ozoa,Sirus Gaming
Justin Clark,GameSpot
Christian Wait,Elite Gamer
Simon Miller,TrustedReviews
William Andrews,Respawning
Kevin O'Connell,Gaming Nexus
Jeffrey Rousseau,GameSkinny
Pierre-Yves Lanthier,Digitally Downloaded
Matt Steigely,GameOctane
Eric Watson,PC Gamer
Seth G. Macy,IGN
Joseph Barrood,Rapid Reviews UK
Sam Harkin,Checkpoint Gaming
Daniel D,EIP Gaming
Chris Barnes,Worth Playing
Felicity Chevalier,Entertainium
Nathan Hennessy,WellPlayed
Royce Wilson,GameOnAUS
Joe Findlay,CGMagazine
Grant Huff,DualShockers
Nathan Anstadt,GamingTrend
Cassie Gotto White,GameSkinny
Sam Robinson,The Game Fanatics
Andy Brice,GamingBolt
Mike de Leon,SelectButton
Phil Owen,gameranx
Danielle Riendeau,Polygon
Drew Toal,The A.V. Club
Brian McLaughlin,Pixel Dynamo
Siobhan Keogh,Gameplanet
Matt Furtado,Examiner
Jason Fanelli,Arcade Sushi
Steve Watts,Shacknews
Jennifer Sheffield,Pure Nintendo
Noelpd,GameOctane
Joel Guttenberg,Player2.net.au
Paul Policarp,PressA2Join
Enrico Spadavecchia,Everyeye.it
Ana Febo,Entertainment Buddha
Emily Gera,Eurogamer
Fabu,Superlevel
Brad McDonald,GameSpace
Claudio Todeschini,The Games Machine
Diogo Freire,Hu3br
Mike Takahashi,Darkstation
Shaun McHugh,Jump Dash Roll
عرفان جلیلی,Pardis Game
Θοδωρής Μακρής,Unboxholics
Sebastian Quiroz,Atomix
Luigi Savinelli,TechRaptor
Kaveh Eskandari,Bazimag
Alessandro Fillari,GameSpot
Evan Valentine,ComicBook.com
Aaron Greenbaum,Twinfinite
Seb Hawden,The Digital Fix
Marino Puntorieri,Spaziogames
Jenny Jones,Push Square
Jordan Ryan,GBAtemp
Stephen LaGioia,New Game Network
Jeff Marchiafava,Game Informer
Cian Maher,GameSpot
Javier Artero,IGN Spain
Kyle Nutland,GameGrin
Camila Berka,GameBlast
Malindy Hetfeld,Eurogamer
Pelin Yiğit,Oyungezer Online
Fabio Canonico,IGN Italy
Kat Bullock,FingerGuns
Laura Gray,Screen Rant
Vikki Blake,Nintendo Life
Diego Domínguez Perulero,GaminGuardian
Leon Hurley,GamesRadar+
Reece Armstrong,GameGrin
Mike Boccher,GameZone
Rob Keyes,Game Rant
Adam Birch,The Game Fanatics
James McMurtrie,Post Arcade (National Post)
Shane Jury,Cubed3
Stan Cohen,GameSpew
Jackson Bostian,COGconnected
Elia Pales,Nintendo Enthusiast
SirLink,Cubed3
Lee Meyer,Nintendo Life
Nikola Suprak,Hardcore Gamer
Curtis Bonds,NintendoWorldReport
Jennifer Dingle,COGconnected
César Rodrigues,Fun Factor
"Kaisernik,Patos",Red Value Gaming
Garrett Zafuto,NerdBacon
Scott Butterworth,GameSpot
Bojan Jovanovic,PLAY Zine
Marc Caccamise,New Game Network
Jordan Oloman,TechRaptor
Collin MacGregor,Twinfinite
Owen Chan,GameGrin
Tommaso Campion,IGN Italy
Johnny Chiodini,Eurogamer
Iskander Parga,Areajugones
Marc Hollinshead,TrueAchievements
Mark Walton,Ars Technica
Liam Padfield,DualShockers
Alex Chessun,Movies Games and Tech
Robert Enciso,PlayStation Galaxy
Thomas Knight,NookGaming
Mankoto,Gaming Gamma
Graham Stephen,GameSpew
Gabs Tanner,We Got This Covered
Dave Gamble,Gaming Nexus
Evan Schwab,Bit Cultures
Som Pourfarzaneh,MMORPG.com
