id,rating,top_critic,fk_game_id
62320d6a67855975e586e99b,90,TRUE,a3c78a5c62824677834c1008e0be9b2d
601129490f8974118c9391d8,80,FALSE,a3c78a5c62824677834c1008e0be9b2d
610c52ff957b7bfbeb213867,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
610c4fa3957b7bfbeb213850,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
5df2816aad4f81777e1f5632,90,TRUE,a3c78a5c62824677834c1008e0be9b2d
5de9793dad4f81777e1f4d3e,90,FALSE,a3c78a5c62824677834c1008e0be9b2d
610c5028957b7bfbeb213851,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
610c4ea9957b7bfbeb21384b,95,TRUE,a3c78a5c62824677834c1008e0be9b2d
610c4f6e957b7bfbeb21384e,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
5e276a40c25afe0e75c3026f,91,FALSE,a3c78a5c62824677834c1008e0be9b2d
5de02894ad4f81777e1f3c89,80,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dde1b0cad4f81777e1f3a85,80,TRUE,a3c78a5c62824677834c1008e0be9b2d
610c4dd7957b7bfbeb213845,90,TRUE,a3c78a5c62824677834c1008e0be9b2d
5e9bbecebdf729557ef48c89,95,FALSE,a3c78a5c62824677834c1008e0be9b2d
5ddbb8b666e2226fc0064563,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dda5ef866e2226fc0064517,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
610c4e69957b7bfbeb213847,95,TRUE,a3c78a5c62824677834c1008e0be9b2d
61c243cd9e5c48c548d673cd,95,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dd38c1a66e2226fc0063b89,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dd3789466e2226fc0063b7a,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dd2e41066e2226fc00637fb,93,TRUE,a3c78a5c62824677834c1008e0be9b2d
615fb7469e65de2d02a17cc1,90,TRUE,a3c78a5c62824677834c1008e0be9b2d
5ddfdce8ad4f81777e1f3c35,95,TRUE,a3c78a5c62824677834c1008e0be9b2d
5dcf039e66e2226fc006352b,88,TRUE,a3c78a5c62824677834c1008e0be9b2d
5debf262ad4f81777e1f506e,100,FALSE,a3c78a5c62824677834c1008e0be9b2d
5dcc5a8f66e2226fc0062b7a,100,TRUE,a3c78a5c62824677834c1008e0be9b2d
